1277:1102;55.668419611954;12.517171924800;55.666338163902;12.517255931928
10427:1183;55.663589194290;12.516257971415;55.661631442821;12.518542940000
2675:1188;55.655982339830;12.526332588580;55.651710568111;12.527558302374
1188:1190;55.651710568111;12.527558302374;55.648891264754;12.534894956680
1190:1192;55.648891264754;12.534894956680;55.645678548444;12.542792232423
1192:1193;55.645678548444;12.542792232423;55.643267078734;12.546030999823
29848:1254;55.714869057207;12.578359386021;55.714722338697;12.576872278272
1254:1255;55.714722338697;12.576872278272;55.714302955207;12.572141671488
10116:1258;55.711635454779;12.569281182613;55.710665576080;12.565725227746
1258:1260;55.710665576080;12.565725227746;55.709816113446;12.560458136843
1260:1261;55.709816113446;12.560458136843;55.708289598145;12.557321338416
1261:1262;55.708289598145;12.557321338416;55.706560501424;12.554200459762
1990:1268;55.696323268732;12.535446295653;55.694101653325;12.533410953922
1268:1269;55.694101653325;12.533410953922;55.691150050457;12.530640065380
1269:1270;55.691150050457;12.530640065380;55.687396150944;12.527096416449
1270:1272;55.687396150944;12.527096416449;55.684805917195;12.525103288211
1272:1273;55.684805917195;12.525103288211;55.681618680385;12.522605601311
1273:1274;55.681618680385;12.522605601311;55.678856146206;12.521192647173
1274:1275;55.678856146206;12.521192647173;55.676078913703;12.519993853741
1275:1276;55.676078913703;12.519993853741;55.671540958434;12.517967910585
1276:1277;55.671540958434;12.517967910585;55.668419611954;12.517171924800
10017:1989;55.704325254604;12.537988693861;55.700685533354;12.537094394927
1989:1990;55.700685533354;12.537094394927;55.696323268732;12.535446295653
1193:2666;55.643267078734;12.546030999823;55.641447475301;12.564682839365
1183:2673;55.661631442821;12.518542940000;55.662017449514;12.524595016759
2673:2675;55.662017449514;12.524595016759;55.655982339830;12.526332588580
7035:2757;55.705090988181;12.544595252950;55.706458817066;12.542138638010
1262:7035;55.706560501424;12.554200459762;55.705090988181;12.544595252950
2757:10017;55.706458817066;12.542138638010;55.704325254604;12.537988693861
1255:10115;55.714302955207;12.572141671488;55.713719363382;12.568710142387
10115:10116;55.713719363382;12.568710142387;55.711635454779;12.569281182613
1102:10427;55.666338163902;12.517255931928;55.663589194290;12.516257971415
